Date,Value
3/6/1930,23.59
3/7/1930,23.59
3/10/1930,23.67
3/11/1930,23.719999
3/12/1930,23.459999
3/13/1930,23.6
3/14/1930,23.450001
3/17/1930,23.67
3/18/1930,23.9
3/19/1930,24.030001
3/20/1930,24.139999
3/21/1930,24.290001
3/24/1930,24.280001
3/25/1930,24.25
3/26/1930,24.620001
3/27/1930,24.57
3/28/1930,24.85
3/31/1930,24.15
4/1/1930,25.370001
4/2/1930,25.110001
4/3/1930,25.16
4/4/1930,25.540001
4/7/1930,25.6
4/8/1930,25.459999
4/9/1930,25.870001
4/10/1930,25.92
4/11/1930,25.84
4/14/1930,25.73
4/15/1930,25.74
4/16/1930,25.559999
4/17/1930,25.75
4/21/1930,25.290001
4/22/1930,25.5
4/23/1930,25.549999
4/24/1930,25.35
4/25/1930,25.32
4/28/1930,24.76
4/29/1930,24.73
4/30/1930,24.9
5/1/1930,24.299999
5/2/1930,23.57
5/5/1930,22.98
5/6/1930,23.76
5/7/1930,23.309999
5/8/1930,23.4
5/9/1930,23.690001
5/12/1930,24.09
5/13/1930,24.42
5/14/1930,24.57
5/15/1930,24.17
5/16/1930,24.280001
5/19/1930,23.75
5/20/1930,23.860001
5/21/1930,23.74
5/22/1930,23.790001
5/23/1930,24.030001
5/26/1930,24.23
5/27/1930,24.24
5/28/1930,24.379999
5/29/1930,24.49
6/2/1930,24.4
6/3/1930,24.18
6/4/1930,24.290001
6/5/1930,23.91
6/6/1930,23.52
6/9/1930,22.379999
6/10/1930,23.01
6/11/1930,22.200001
6/12/1930,22.129999
6/13/1930,22.26
6/16/1930,20.559999
6/17/1930,20.58
6/18/1930,19.860001
6/19/1930,20.790001
6/20/1930,20.25
6/23/1930,20.09
6/24/1930,19.389999
6/25/1930,19.540001
6/26/1930,20
6/27/1930,19.809999
6/30/1930,20.459999
7/1/1930,20.24
7/2/1930,20.459999
7/3/1930,20.25
7/7/1930,19.83
7/8/1930,19.969999
7/9/1930,20.26
7/10/1930,20.77
7/11/1930,20.549999
7/14/1930,21.360001
7/15/1930,21.32
7/16/1930,21.48
7/17/1930,21.58
7/18/1930,21.77
7/21/1930,20.940001
7/22/1930,21.32
7/23/1930,21.66
7/24/1930,21.379999
7/25/1930,21.5
7/28/1930,21.82
7/29/1930,21.65
7/30/1930,21.08
7/31/1930,21.209999
8/1/1930,21.110001
8/4/1930,21.52
8/5/1930,21.52
8/6/1930,21.18
8/7/1930,21.059999
8/8/1930,20.27
8/11/1930,20.4
8/12/1930,19.879999
8/13/1930,20.15
8/14/1930,20.16
8/15/1930,20.700001
8/18/1930,20.540001
8/19/1930,20.74
8/20/1930,20.85
8/21/1930,20.639999
8/22/1930,20.790001
8/25/1930,20.68
8/26/1930,20.98
8/27/1930,21.139999
8/28/1930,21.129999
8/29/1930,21.370001
9/2/1930,21.379999
9/3/1930,21.17
9/4/1930,21.02
9/5/1930,21.34
9/8/1930,21.629999
9/9/1930,21.76
9/10/1930,21.860001
9/11/1930,21.719999
9/12/1930,21.5
9/15/1930,21.190001
9/16/1930,21.219999
9/17/1930,21.290001
9/18/1930,21.059999
9/19/1930,20.68
9/22/1930,20.17
9/23/1930,20.440001
9/24/1930,20.110001
9/25/1930,19.73
9/26/1930,19.43
9/29/1930,18.879999
9/30/1930,18.59
10/1/1930,19.42
10/2/1930,19.18
10/3/1930,19.42
10/6/1930,18.610001
10/7/1930,18.620001
10/8/1930,18.4
10/9/1930,17.67
10/10/1930,18.110001
10/14/1930,17.91
10/15/1930,18.200001
10/16/1930,17.879999
10/17/1930,17.16
10/20/1930,17.57
10/21/1930,17.049999
10/22/1930,16.9
10/23/1930,17.139999
10/24/1930,17.74
10/27/1930,17.780001
10/28/1930,17.860001
10/29/1930,17.549999
10/30/1930,17.34
10/31/1930,16.940001
11/3/1930,17.129999
11/5/1930,16.620001
11/6/1930,16.65
11/7/1930,16.09
11/10/1930,15.54
11/11/1930,15.79
11/12/1930,16.139999
11/13/1930,16.559999
11/14/1930,16.889999
11/17/1930,16.48
11/18/1930,16.66
11/19/1930,17.01
11/20/1930,16.940001
11/21/1930,17.200001
11/24/1930,17.049999
11/25/1930,16.85
11/26/1930,16.610001
11/28/1930,16.379999
12/1/1930,16.799999
12/2/1930,16.959999
12/3/1930,16.67
12/4/1930,16.42
12/5/1930,16.43
12/8/1930,15.97
12/9/1930,15.98
12/10/1930,15.73
12/11/1930,15.55
12/12/1930,15.43
12/15/1930,14.94
12/16/1930,14.44
12/17/1930,15.11
12/18/1930,15.22
12/19/1930,15.39
12/22/1930,14.88
12/23/1930,14.96
12/24/1930,15.16
12/26/1930,14.85
12/29/1930,14.72
12/30/1930,15.06
12/31/1930,15.34
1/2/1931,15.85
1/5/1931,15.93
1/6/1931,16.129999
1/7/1931,15.09
1/8/1931,16.23
1/9/1931,16.07
1/12/1931,15.84
1/13/1931,15.65
1/14/1931,15.83
1/15/1931,15.46
1/16/1931,15.65
1/19/1931,15.46
1/20/1931,15.78
1/21/1931,15.78
1/22/1931,16.07
1/23/1931,16.42
1/26/1931,16.4
1/27/1931,16.32
1/28/1931,16.02
1/29/1931,16.17
1/30/1931,16.190001
2/2/1931,16.16
2/3/1931,16.24
2/4/1931,16.33
2/5/1931,16.219999
2/6/1931,16.27
2/9/1931,16.959999
2/10/1931,17.23
2/11/1931,17.280001
2/13/1931,17.18
2/16/1931,17.34
2/17/1931,17.049999
2/18/1931,17.200001
2/19/1931,17.43
2/20/1931,17.709999
2/24/1931,18.17
2/25/1931,17.969999
2/26/1931,18.17
2/27/1931,18.030001
3/2/1931,17.52
3/3/1931,17.5
3/4/1931,17.34
3/5/1931,17.690001
3/6/1931,17.32
3/9/1931,17.76
3/10/1931,17.719999
3/11/1931,17.52
3/12/1931,17.4
3/13/1931,17.32
3/16/1931,17.77
3/17/1931,17.58
3/18/1931,17.809999
3/19/1931,18.01
3/20/1931,18.059999
3/23/1931,17.76
3/24/1931,17.879999
3/25/1931,17.780001
3/26/1931,17.540001
3/27/1931,17.209999
3/30/1931,16.66
3/31/1931,16.690001
4/1/1931,16.52
4/2/1931,16.450001
4/6/1931,16.5
4/7/1931,16.280001
4/8/1931,16.5
4/9/1931,16.41
4/10/1931,16.459999
4/13/1931,16.719999
4/14/1931,16.51
4/15/1931,16.18
4/16/1931,15.98
4/17/1931,15.73
4/20/1931,15.96
4/21/1931,15.54
4/22/1931,15.22
4/23/1931,15.29
4/24/1931,15.29
4/27/1931,14.76
4/28/1931,14.67
4/29/1931,14.37
4/30/1931,15.09
5/1/1931,14.65
5/4/1931,15.06
5/5/1931,14.94
5/6/1931,15.01
5/7/1931,14.95
5/8/1931,15.44
5/11/1931,15.19
5/12/1931,15.04
5/13/1931,14.99
5/14/1931,14.66
5/15/1931,14.44
5/18/1931,13.84
5/19/1931,13.83
5/20/1931,13.75
5/21/1931,13.89
5/22/1931,13.94
5/25/1931,13.4
5/26/1931,13.41
5/27/1931,13.26
5/28/1931,13.31
5/29/1931,13.02
6/1/1931,12.4
6/2/1931,12.2
6/3/1931,13.12
6/4/1931,13.55
6/5/1931,13.4
6/8/1931,13.56
6/9/1931,13.34
6/10/1931,13.7
6/11/1931,13.73
6/12/1931,13.75
6/15/1931,13.63
6/16/1931,13.66
6/17/1931,13.51
6/18/1931,13.27
6/19/1931,13.22
6/22/1931,14.61
6/23/1931,14.41
6/24/1931,15.09
6/25/1931,14.99
6/26/1931,15.35
6/29/1931,15.09
6/30/1931,14.83
7/1/1931,15.07
7/2/1931,14.94
7/3/1931,15.26
7/6/1931,15.1
7/7/1931,14.51
7/8/1931,14.37
7/9/1931,14.49
7/10/1931,14.63
7/13/1931,14.23
7/14/1931,14.09
7/15/1931,13.8
7/16/1931,14.14
7/17/1931,14.27
7/20/1931,14.46
7/21/1931,14.62
7/22/1931,14.28
7/23/1931,14.28
7/24/1931,13.97
7/27/1931,14.03
7/28/1931,14.18
7/29/1931,13.74
7/30/1931,13.8
7/31/1931,13.73
8/3/1931,13.93
8/4/1931,13.84
8/5/1931,13.64
8/6/1931,13.55
8/7/1931,13.61
8/10/1931,13.55
8/11/1931,13.99
8/12/1931,13.8
8/13/1931,14.02
8/14/1931,14.29
8/17/1931,14.05
8/18/1931,14.1
8/19/1931,14.14
8/20/1931,14.17
8/21/1931,13.86
8/24/1931,13.75
8/25/1931,13.7
8/26/1931,13.93
8/27/1931,13.85
8/28/1931,13.99
8/31/1931,13.86
9/1/1931,13.92
9/2/1931,13.66
9/3/1931,13.35
9/4/1931,13.29
9/8/1931,12.87
9/9/1931,12.76
9/10/1931,12.62
9/11/1931,12.69
9/14/1931,12.1
9/15/1931,11.99
9/16/1931,11.82
9/17/1931,12.04
9/18/1931,11.46
9/21/1931,10.93
9/22/1931,10.8
9/23/1931,11.52
9/24/1931,10.68
9/25/1931,10.92
9/28/1931,10.5
9/29/1931,10.06
9/30/1931,9.71
10/1/1931,9.53
10/2/1931,9.7
10/5/1931,8.82
10/6/1931,9.91
10/7/1931,9.78
10/8/1931,10.62
10/9/1931,10.55
10/13/1931,10.1
10/14/1931,9.87
10/15/1931,10.05
10/16/1931,10.36
10/19/1931,10.49
10/20/1931,10.96
10/21/1931,10.86
10/22/1931,10.5
10/23/1931,10.84
10/26/1931,10.64
10/27/1931,10.41
10/28/1931,10.07
10/29/1931,10.11
10/30/1931,10.43
11/2/1931,10.5
11/4/1931,10.82
11/5/1931,10.78
11/6/1931,11.11
11/9/1931,11.52
11/10/1931,11.28
11/11/1931,11.11
11/12/1931,11.07
11/13/1931,10.72
11/16/1931,10.43
11/17/1931,10.6
11/18/1931,10.21
11/19/1931,10.16
11/20/1931,9.85
11/23/1931,9.7
11/24/1931,9.87
11/25/1931,9.53
11/27/1931,9.31
11/30/1931,9.5
12/1/1931,9.38
12/2/1931,9.05
12/3/1931,9.22
12/4/1931,9.02
12/7/1931,9.29
12/8/1931,9.02
12/9/1931,8.78
12/10/1931,8.58
12/11/1931,8.31
12/14/1931,8.01
12/15/1931,8.12
12/16/1931,7.93
12/17/1931,7.72
12/18/1931,8.36
12/21/1931,8.15
12/22/1931,8.29
12/23/1931,7.95
12/24/1931,7.96
12/28/1931,7.76
12/29/1931,7.96
12/30/1931,8.1
12/31/1931,8.12
1/4/1932,7.56
1/5/1932,7.55
1/6/1932,8.08
1/7/1932,8.22
1/8/1932,8.57
1/11/1932,8.48
1/12/1932,8.39
1/13/1932,8.8
1/14/1932,8.9
1/15/1932,8.92
1/18/1932,8.51
1/19/1932,8.48
1/20/1932,8.63
1/21/1932,8.58
1/22/1932,8.21
1/25/1932,8.2
1/26/1932,8.31
1/27/1932,8.15
1/28/1932,8.03
1/29/1932,7.94
2/1/1932,8.23
2/2/1932,8.05
2/3/1932,8.09
2/4/1932,8.04
2/5/1932,7.78
2/8/1932,7.62
2/9/1932,7.53
2/10/1932,7.5
2/11/1932,8.12
2/15/1932,8.5
2/16/1932,8.84
2/17/1932,8.48
2/18/1932,8.71
2/19/1932,8.72
2/23/1932,8.22
2/24/1932,8.43
2/25/1932,8.35
2/26/1932,8.34
2/29/1932,8.29
3/1/1932,8.35
3/2/1932,8.71
3/3/1932,8.71
3/4/1932,8.72
3/7/1932,8.82
3/8/1932,8.98
3/9/1932,8.81
3/10/1932,8.73
3/11/1932,8.52
3/14/1932,8.31
3/15/1932,8.31
3/16/1932,8.11
3/17/1932,8.28
3/18/1932,8.02
3/21/1932,8.06
3/22/1932,8.05
3/23/1932,7.94
3/24/1932,7.86
3/28/1932,7.59
3/29/1932,7.58
3/30/1932,7.74
3/31/1932,7.31
4/1/1932,7.18
4/4/1932,7.06
4/5/1932,6.73
4/6/1932,6.53
4/7/1932,6.46
4/8/1932,6.26
4/11/1932,6.07
4/12/1932,6.06
4/13/1932,5.98
4/14/1932,6.25
4/15/1932,6.42
4/18/1932,6.12
4/19/1932,6.03
4/20/1932,6.03
4/21/1932,6.24
4/22/1932,5.96
4/25/1932,6.03
4/26/1932,6.12
4/27/1932,6.27
4/28/1932,6.03
4/29/1932,5.83
5/2/1932,5.74
5/3/1932,5.66
5/4/1932,5.74
5/5/1932,5.68
5/6/1932,6.09
5/9/1932,5.96
5/10/1932,6.01
5/11/1932,6
5/12/1932,5.8
5/13/1932,5.6
5/16/1932,5.61
5/17/1932,5.59
5/18/1932,5.45
5/19/1932,5.48
5/20/1932,5.48
5/23/1932,5.43
5/24/1932,5.21
5/25/1932,5.03
5/26/1932,5.11
5/27/1932,4.83
5/31/1932,4.47
6/1/1932,4.4
6/2/1932,4.64
6/3/1932,4.89
6/6/1932,5.07
6/7/1932,4.85
6/8/1932,4.57
6/9/1932,4.57
6/10/1932,4.92
6/13/1932,4.82
6/14/1932,4.94
6/15/1932,5.12
6/16/1932,5.12
6/17/1932,4.83
6/20/1932,4.89
6/21/1932,4.77
6/22/1932,4.77
6/23/1932,4.8
6/24/1932,4.6
6/27/1932,4.44
6/28/1932,4.44
6/29/1932,4.51
6/30/1932,4.43
7/1/1932,4.6
7/5/1932,4.5
7/6/1932,4.6
7/7/1932,4.45
7/8/1932,4.41
7/11/1932,4.6
7/12/1932,4.6
7/13/1932,4.82
7/14/1932,4.79
7/15/1932,4.93
7/18/1932,4.8
7/19/1932,4.78
7/20/1932,4.93
7/21/1932,5.05
7/22/1932,5.2
7/25/1932,5.48
7/26/1932,5.4
7/27/1932,5.67
7/28/1932,5.85
7/29/1932,6.03
8/1/1932,6.11
8/2/1932,5.87
8/3/1932,6.39
8/4/1932,6.52
8/5/1932,6.8
8/8/1932,7.43
8/9/1932,7.39
8/10/1932,7.65
8/11/1932,7.61
8/12/1932,7
8/15/1932,7.44
8/16/1932,7.68
8/17/1932,7.51
8/18/1932,7.6
8/19/1932,7.53
8/22/1932,7.77
8/23/1932,8.15
8/24/1932,8.33
8/25/1932,8.26
8/26/1932,8.39
8/29/1932,8.58
8/30/1932,8.47
8/31/1932,8.39
9/1/1932,8.47
9/2/1932,8.84
9/6/1932,8.91
9/7/1932,9.31
9/8/1932,8.97
9/9/1932,8.75
9/12/1932,8.15
9/13/1932,7.8
9/14/1932,7.35
9/15/1932,7.66
9/16/1932,7.57
9/19/1932,7.34
9/20/1932,7.62
9/21/1932,8.52
9/22/1932,8.26
9/23/1932,8.4
9/26/1932,8.04
9/27/1932,8.13
9/28/1932,8.36
9/29/1932,8.1
9/30/1932,8.08
10/3/1932,8.06
10/4/1932,8.05
10/5/1932,7.39
10/6/1932,7.43
10/7/1932,7.02
10/10/1932,6.42
10/11/1932,6.88
10/13/1932,6.67
10/14/1932,7.13
10/17/1932,7
10/18/1932,7.13
10/19/1932,7.4
10/20/1932,7.23
10/21/1932,6.82
10/24/1932,6.83
10/25/1932,6.76
10/26/1932,6.89
10/27/1932,6.95
10/28/1932,7.09
10/31/1932,6.96
11/1/1932,6.76
11/2/1932,6.52
11/3/1932,6.48
11/4/1932,6.88
