Date,JPY
2/23/2018,106.88
2/26/2018,106.92
2/27/2018,107.31
2/28/2018,106.67
3/1/2018,106.23
3/2/2018,105.73
3/5/2018,106.19
3/6/2018,106.11
3/7/2018,106.06
3/8/2018,106.2
3/9/2018,106.77
3/12/2018,106.41
3/13/2018,106.56
3/14/2018,106.32
3/15/2018,106.33
3/16/2018,106
3/19/2018,106.08
3/20/2018,106.53
3/21/2018,106.04
3/22/2018,105.26
3/23/2018,104.72
3/26/2018,105.4
3/27/2018,105.33
3/28/2018,106.85
3/29/2018,106.42
3/30/2018,106.26
4/2/2018,105.88
4/3/2018,106.59
4/4/2018,106.77
4/5/2018,107.37
4/6/2018,106.91
4/9/2018,106.75
4/10/2018,107.19
4/11/2018,106.78
4/12/2018,107.32
4/13/2018,107.33
4/16/2018,107.1
4/17/2018,106.99
4/18/2018,107.23
4/19/2018,107.36
4/20/2018,107.65
4/23/2018,108.7
4/24/2018,108.81
4/25/2018,109.41
4/26/2018,109.29
4/27/2018,109.03
4/30/2018,109.33
5/1/2018,109.85
5/2/2018,109.83
5/3/2018,109.18
5/4/2018,109.11
5/7/2018,109.08
5/8/2018,109.11
5/9/2018,109.74
5/10/2018,109.38
5/11/2018,109.38
5/14/2018,109.65
5/15/2018,110.34
5/16/2018,110.38
5/17/2018,110.76
5/18/2018,110.74
5/21/2018,111.04
5/22/2018,110.88
5/23/2018,110.07
5/24/2018,109.24
5/25/2018,109.38
5/28/2018,109.41
5/29/2018,108.75
5/30/2018,108.9
5/31/2018,108.81
6/1/2018,109.53
6/4/2018,109.8
6/5/2018,109.78
6/6/2018,110.16
6/7/2018,109.69
6/8/2018,109.53
6/11/2018,110.02
6/12/2018,110.36
6/13/2018,110.32
6/14/2018,110.62
6/15/2018,110.66
6/18/2018,110.54
6/19/2018,110.04
6/20/2018,110.35
6/21/2018,109.98
6/22/2018,109.96
6/25/2018,109.76
6/26/2018,110.05
6/27/2018,110.25
6/28/2018,110.48
6/29/2018,110.66
7/2/2018,110.89
7/3/2018,110.58
7/4/2018,110.45
7/5/2018,110.61
7/6/2018,110.45
7/9/2018,110.84
7/10/2018,110.98
7/11/2018,112
7/12/2018,112.55
7/13/2018,112.36
7/16/2018,112.28
7/17/2018,112.85
7/18/2018,112.83
7/19/2018,112.45
7/20/2018,111.39
7/23/2018,111.33
7/24/2018,111.19
7/25/2018,110.97
7/26/2018,111.22
7/27/2018,111.03
7/30/2018,111.06
7/31/2018,111.86
8/1/2018,111.71
8/2/2018,111.65
8/3/2018,111.25
8/6/2018,111.4
8/7/2018,111.37
8/8/2018,110.97
8/9/2018,111.07
8/10/2018,110.92
8/13/2018,110.71
8/14/2018,111.14
8/15/2018,110.73
8/16/2018,110.88
8/17/2018,110.49
8/20/2018,110.06
8/21/2018,110.29
8/22/2018,110.54
8/23/2018,111.28
8/24/2018,111.22
8/27/2018,111.08
8/28/2018,111.18
8/29/2018,111.65
8/30/2018,110.96
8/31/2018,111.02
9/3/2018,111.07
9/4/2018,111.44
9/5/2018,111.52
9/6/2018,110.74
9/7/2018,111.05
9/10/2018,111.11
9/11/2018,111.62
9/12/2018,111.25
9/13/2018,111.92
9/14/2018,112.04
9/17/2018,111.83
9/18/2018,112.35
9/19/2018,112.27
9/20/2018,112.48
9/21/2018,112.56
9/24/2018,112.79
9/25/2018,112.97
9/26/2018,112.72
9/27/2018,113.36
9/28/2018,113.68
10/1/2018,113.91
10/2/2018,113.66
10/3/2018,114.53
10/4/2018,113.9
10/5/2018,113.7
10/8/2018,113.23
10/9/2018,112.94
10/10/2018,112.27
10/11/2018,112.16
10/12/2018,112.19
10/15/2018,111.76
10/16/2018,112.25
10/17/2018,112.64
10/18/2018,112.18
10/19/2018,112.54
10/22/2018,112.8
10/23/2018,112.43
10/24/2018,112.25
10/25/2018,112.4
10/26/2018,111.89
10/29/2018,112.36
10/30/2018,113.08
10/31/2018,112.93
11/1/2018,112.7
11/2/2018,113.18
11/5/2018,113.18
11/6/2018,113.42
11/7/2018,113.51
11/8/2018,114.06
11/9/2018,113.82
11/12/2018,113.83
11/13/2018,113.8
11/14/2018,113.61
11/15/2018,113.62
11/16/2018,112.82
11/19/2018,112.54
11/20/2018,112.75
11/21/2018,113.05
11/22/2018,112.93
11/23/2018,112.94
11/26/2018,113.59
11/27/2018,113.77
11/28/2018,113.68
11/29/2018,113.47
11/30/2018,113.46
12/3/2018,113.65
12/4/2018,112.77
12/5/2018,113.19
12/6/2018,112.66
12/7/2018,112.72
12/10/2018,113.33
12/11/2018,113.37
12/12/2018,113.27
12/13/2018,113.62
12/14/2018,113.37
12/17/2018,112.82
12/18/2018,112.51
12/19/2018,112.47
12/20/2018,111.28
12/21/2018,111.21
12/24/2018,110.43
12/25/2018,110.27
12/26/2018,111.35
12/27/2018,110.99
12/28/2018,110.26
12/31/2018,109.56
1/1/2019,109.71
1/2/2019,108.87
1/3/2019,107.65
1/4/2019,108.52
