Date,EURO
1/21/1997,0.832
1/22/1997,0.8393
1/23/1997,0.8403
1/24/1997,0.8355
1/27/1997,0.8404
1/28/1997,0.8459
1/29/1997,0.8437
1/30/1997,0.8412
1/31/1997,0.8419
2/3/1997,0.8443
2/4/1997,0.8447
2/5/1997,0.845
2/6/1997,0.8471
2/7/1997,0.8536
2/10/1997,0.8495
2/11/1997,0.8572
2/12/1997,0.8624
2/13/1997,0.8639
2/14/1997,0.8653
2/17/1997,0.8707
2/18/1997,0.8672
2/19/1997,0.8712
2/20/1997,0.8661
2/21/1997,0.8655
2/24/1997,0.858
2/25/1997,0.8593
2/26/1997,0.8666
2/27/1997,0.8671
2/28/1997,0.8682
3/3/1997,0.8709
3/4/1997,0.8778
3/5/1997,0.8782
3/6/1997,0.8801
3/7/1997,0.8801
3/10/1997,0.8734
3/11/1997,0.8743
3/12/1997,0.8729
3/13/1997,0.874
3/14/1997,0.8715
3/17/1997,0.8697
3/18/1997,0.8632
3/19/1997,0.8648
3/20/1997,0.8689
3/21/1997,0.8656
3/24/1997,0.8668
3/25/1997,0.8679
3/26/1997,0.8671
3/27/1997,0.8595
4/1/1997,0.8556
4/2/1997,0.8576
4/3/1997,0.8556
4/4/1997,0.861
4/7/1997,0.8743
4/8/1997,0.8755
4/9/1997,0.8805
4/10/1997,0.8785
4/11/1997,0.8806
4/14/1997,0.8817
4/15/1997,0.8843
4/16/1997,0.8836
4/17/1997,0.8815
4/18/1997,0.8766
4/21/1997,0.8717
4/22/1997,0.8786
4/23/1997,0.8775
4/24/1997,0.8796
4/25/1997,0.8846
4/28/1997,0.8857
4/29/1997,0.8825
4/30/1997,0.8868
5/1/1997,0.8814
5/2/1997,0.885
5/6/1997,0.8829
5/7/1997,0.8813
5/8/1997,0.8753
5/9/1997,0.8674
5/12/1997,0.8737
5/13/1997,0.8683
5/14/1997,0.8684
5/15/1997,0.8689
5/16/1997,0.8666
5/19/1997,0.8734
5/20/1997,0.8624
5/21/1997,0.8665
5/22/1997,0.8671
5/23/1997,0.8663
5/27/1997,0.8724
5/28/1997,0.8703
5/29/1997,0.8703
5/30/1997,0.8745
6/2/1997,0.8843
6/3/1997,0.8836
6/4/1997,0.8842
6/5/1997,0.8847
6/6/1997,0.8849
6/9/1997,0.8755
6/10/1997,0.8809
6/11/1997,0.8798
6/12/1997,0.8839
6/13/1997,0.8886
6/16/1997,0.8843
6/17/1997,0.8844
6/18/1997,0.884
6/19/1997,0.8814
6/20/1997,0.8833
6/23/1997,0.8775
6/24/1997,0.8801
6/25/1997,0.8796
6/26/1997,0.8814
6/27/1997,0.8865
6/30/1997,0.8882
7/1/1997,0.8884
7/2/1997,0.8919
7/3/1997,0.8906
7/4/1997,0.8926
7/7/1997,0.8903
7/8/1997,0.8953
7/9/1997,0.8967
7/10/1997,0.8921
7/11/1997,0.9032
7/14/1997,0.9105
7/15/1997,0.9131
7/16/1997,0.912
7/17/1997,0.9111
7/18/1997,0.911
7/21/1997,0.9126
7/22/1997,0.9225
7/23/1997,0.9262
7/24/1997,0.929
7/25/1997,0.9327
7/28/1997,0.9371
7/29/1997,0.9322
7/30/1997,0.9342
7/31/1997,0.9343
8/1/1997,0.9448
8/4/1997,0.948
8/5/1997,0.9554
8/6/1997,0.9557
8/7/1997,0.9527
8/8/1997,0.9416
8/11/1997,0.946
8/12/1997,0.9485
8/13/1997,0.9352
8/14/1997,0.9399
8/15/1997,0.9265
8/18/1997,0.9318
8/19/1997,0.9358
8/20/1997,0.9447
8/21/1997,0.9364
8/22/1997,0.9259
8/26/1997,0.917
